id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2021-07-26T14:33:23;RAM systemic;PAID;CASH_ON_DELIVERY;2021-07-26T18:59:18;5801;Infrastructure gold Grove;1
2;2021-07-26T11:23:29;Soft program;CANCELLED;CREDIT_CARD;2021-07-26T13:57:53;92692;Consultant;2
3;2021-07-26T21:00:34;reciprocal;ISSUED;PAYPAL;2021-07-26T18:36:15;56857;Home;3
4;2021-07-26T22:34:31;Bhutanese;CANCELLED;PAYPAL;2021-07-27T00:24:04;87472;parse intuitive Division;4
5;2021-07-26T13:20:49;back-end synergy transmitting;CANCELLED;CASH_ON_DELIVERY;2021-07-26T11:45:59;98367;Gloves visualize;5
6;2021-07-26T08:00:57;function;CANCELLED;CREDIT_CARD;2021-07-27T02:51:43;85471;Director;6
7;2021-07-26T23:44:31;Maine;PAID;CREDIT_CARD;2021-07-26T09:00:45;11254;customized hub;7
8;2021-07-26T18:19:17;Agent Towels Groves;PAID;PAYPAL;2021-07-26T08:39:00;83224;interactive deposit Electronics;8
9;2021-07-26T10:47:37;Concrete Toys Plains;PAID;CREDIT_CARD;2021-07-26T16:17:58;34085;Wooden Intuitive applications;9
10;2021-07-27T03:37:38;Arizona Vermont system;ISSUED;CREDIT_CARD;2021-07-26T13:50:15;6974;CSS;10
