id;placed_date;status;code;customer_id
1;2021-07-26T21:57:27;COMPLETED;Electronics;1
2;2021-07-26T16:19:26;COMPLETED;payment PCI violet;2
3;2021-07-27T02:48:19;CANCELLED;background out-of-the-box withdrawal;2
4;2021-07-26T06:51:20;COMPLETED;Music real-time;1
5;2021-07-26T14:55:29;CANCELLED;Hat;1
6;2021-07-27T03:40:17;PENDING;solid navigating;2
7;2021-07-26T13:36:03;PENDING;Toys maroon;1
8;2021-07-27T02:25:37;COMPLETED;Developer;2
9;2021-07-26T09:54:01;COMPLETED;Credit Soft Cotton;2
10;2021-07-27T00:36:37;CANCELLED;contingency Bedfordshire;2
